Food,Measure,Calories,Protein,Fat,Fiber,Carbs
Cows' milk,1 qt.,660,32,40,0,48
Milk skim,1 qt.,360,36,trace amounts,0,52
Buttermilk,1 cup,127,9,5,0,13
"Evaporated, undiluted",1 cup,345,16,20,0,24
Fortified milk,6 cups,"1,373",89,42,1.4,119
Powdered milk,1 cup,515,27,28,0,39
"skim, instant",1 1/3 cups,290,30,trace amounts,0,42
"skim, non-instant",2/3 cup,290,30,trace amounts,1,42
Goats' milk,1 cup,165,8,10,0,11
(1/2 cup ice cream),2 cups,690,24,24,0,70
Cocoa,1 cup,235,8,11,0,26
skim. milk,1 cup,128,18,4,1,13
(cornstarch),1 cup,275,9,10,0,40
Custard,1 cup,285,13,14,0,28
Ice cream,1 cup,300,6,18,0,29
Ice milk,1 cup,275,9,10,0,32
Cream or half-and-half,1/2 cup,170,4,15,0,5
or whipping,1/2 cup,430,2,44,1,3
Cheese,1 cup,240,30,11,0,6
uncreamed,1 cup,195,38,trace amounts,0,6
Cheddar,1-in. cube,70,4,6,0,trace amounts
"Cheddar, grated cup",1/2 cup,226,14,19,0,1
Cream cheese,1 oz.,105,2,11,0,1
Processed cheese,1 oz.,105,7,9,0,trace amounts
Roquefort type,1 oz.,105,6,9,0,trace amounts
Swiss,1 oz.,105,7,8,0,trace amounts
Eggs raw,2,150,12,12,0,trace amounts
Eggs Scrambled or fried,2,220,13,16,0,1
Yolks,2,120,6,10,0,trace amounts
Butter,1T.,100,trace amounts,11,0,trace amounts
Butter,1/2 cup,113,114,115,117,118
Butter,1/4Ã‚ lb.,113,114,115,117,118
Hydrogenated cooking fat,1/2 cup,665,0,100,0,0
Lard,1/2 cup,992,0,110,0,0
Margarine,1/2 cup,806,trace amounts,91,0,trace amounts
"Margarine, 2 pat or",1 T.,100,trace amounts,11,0,trace amounts
Mayonnaise,1 T.,110,trace amounts,12,0,trace amounts
Corn oil,1 T.,125,0,14,0,0
Olive oil,1T.,125,0,14,0,0
Safflower seed oil,1 T.,125,0,14,0,0
French dressing,1 T.,60,trace amounts,6,0,2
Thousand Island sauce,1 T.,75,trace amounts,8,0,1
Salt pork,2 oz.,470,3,55,0,0
Bacon,2 slices,95,4,8,0,1
Beef,3 oz.,245,23,16,0,0
Hamburger,3 oz.,245,21,17,0,0
Ground lean,3 oz.,185,24,10,0,0
Roast beef,3 oz.,390,16,36,0,0
Steak,3 oz.,330,20,27,0,0
"Steak, lean, as round",3 oz.,220,24,12,0,0
Corned beef,3 oz.,185,22,10,0,0
Corned beef hash canned,3 oz.,120,12,8,trace amounts,6
Corned beef hash Dried,2 oz.,115,19,4,0,0
Pot-pie,1 pie,480,18,28,trace amounts,32
Corned beef hash Stew,1 cup,185,15,10,trace amounts,15
chicken,3 oz.,185,23,9,0,0
"Fried, breast or leg and thigh chicken",3 oz.,245,25,15,0,0
Roasted chicken,3 1/2 oz.,290,25,20,0,0
"Chicken livers, fried",3 med.,140,22,14,0,2.3
"Duck, domestic",3 1/2 oz.,370,16,28,0,0
"Lamb, chop, broiled",4 oz.,480,24,35,0,0
Leg roasted,3 oz.,314,20,14,0,0
"Shoulder, braised",3 oz.,285,18,23,0,0
"Pork, chop, 1 thick",3 1/2 oz.,260,16,21,0,0
Ham pan-broiled,3 oz.,290,16,22,0,0
"Ham, as",2 oz.,170,13,13,0,0
"Ham, canned, spiced",2 oz.,165,8,14,0,1
Pork roast,3 oz.,310,21,24,0,0
Pork sausage,3 1/2 oz.,475,18,44,0,0
Turkey,3 1/2 oz.,265,27,15,0,0
Veal,3 oz.,185,23,9,0,0
Roast,3 oz.,305,13,14,0,0
Clams,3 oz.,87,12,1,0,2
Cod,3 1/2 oz.,170,28,5,0,0
Crab meat,3 oz.,90,14,2,0,1
Fish sticks fried,5,200,19,10,0,8
Flounder,3 1/2 oz.,200,30,8,0,0
Haddock,3 oz.,135,16,5,0,6
Halibut,3 1/2 oz.,182,26,8,0,0
Herring,1 small,211,22,13,0,0
Lobster,aver.,92,18,1,0,trace amounts
Mackerel,3 oz.,155,18,9,a,0
Oysters,6-8 med.,231,232,233,235,236
Oyster stew,1 cup,125,19,6,0,0
Salmon,3 oz.,120,17,5,0,0
Sardines,3 oz.,180,22,9,0,0
Scallops,3 1/2 oz.,104,18,8,0,10
Shad,3 oz.,170,20,10,0,0
Shrimp,3 oz.,110,23,1,0,0
Swordfish,1 steak,180,27,6,0,0
Tuna,3 oz.,170,25,7,0,0
Artichoke,1 large,8-44,2,trace amounts,2,10
Asparagus,6 spears,18,1,trace amounts,0.5,3
Beans,1 cup,25,1,trace amounts,0.8,6
Lima,1 cup,140,8,trace amounts,3,24
"Lima, dry, cooked",1 cup,260,16,trace amounts,2,48
"Navy, baked with pork",3/4 cup,250,11,6,2,37
Red kidney,1 cup,230,15,1,2.5,42
Bean sprouts,1 cup,17,1,trace amounts,0.3,3
Beet greens,1 cup,27,2,trace amounts,1.4,6
Beetroots,1 cup,1,12,0,trace amounts,0.8
Broccoli,1 cup,45,5,trace amounts,1.9,8
Brussels sprouts,1 cup,60,6,trace amounts,1.7,12
Sauerkraut,1 cup,32,1,trace amounts,1.2,7
Steamed cabbage,1 cup,40,2,trace amounts,1.3,9
Carrots,1 cup,45,1,trace amounts,0.9,10
"Raw, grated",1 cup,45,1,trace amounts,1.2,10
"Strips, from raw",1 mad.,20,trace amounts,trace amounts,0.5,5
Cauliflower,1 cup,30,3,trace amounts,1,6
Celery,1 cup,20,1,trace amounts,1,4
Stalk raw,1 large,5,1,trace amounts,0.3,1
Chard steamed,1 cup,30,2,trace amounts,1.4,7
Collards,1 cup,51,5,trace amounts,2,8
Corn,1 ear,92,3,1,0.8,21
cooked or canned,1 cup,170,5,trace amounts,1.6,41
Cucumbers,8,6,trace amounts,0,0.2,1
Dandelion greens,1 cup,80,5,1,3.2,16
Eggplant,1 cup,30,2,trace amounts,1,9
Endive,2 oz.,10,1,trace amounts,0.6,2
Kale,1 cup,45,4,1,0.9,8
Kohlrabi,1 cup,40,2,trace amounts,1.5,9
"Lambs quarters, steamed",1 cup,48,5,trace amounts,3.2,7
Lentils,1 cup,212,15,trace amounts,2.4,38
Lettuce,1/4 head,14,1,trace amounts,0.5,2
Iceberg,1/4 head,13,trace amounts,trace amounts,0.5,3
Mushrooms canned,4,12,2,trace amounts,trace amounts,4
Mustard greens,1,30,3,trace amounts,1.2,6
Okra,1 1/3 cups,32,1,trace amounts,1,7
Onions,1,80,2,trace amounts,1.6,18
"Raw, green",6 small,22,trace amounts,trace amounts,1,5
Parsley,2 T.,2,trace amounts,trace amounts,trace amounts,trace amounts
Parsnips,1 cup,95,2,1,3,22
Peas,1 cup,66,3,trace amounts,0.1,13
"Fresh, steamed peas",1 cup,70,5,trace amounts,2.2,12
Frozen peas,1 cup,,5,trace amounts,1.8,12
Split cooked peas,4 cups,115,8,trace amounts,0.4,21
heated peas,1 cup,53,3,trace amounts,1,10
Peppers canned,1 pod,10,trace amounts,trace amounts,trace amounts,2
"Peppers Raw, green, sweet",1 large,25,1,trace amounts,1.4,6
Peppers with beef and crumbs,1 med.,255,19,9,1,24
"Potatoes, baked",1 med.,100,2,trace amounts,0.5,22
French-fried,10 pieces,155,-1,7,0.4,20
Potatoes Mashed with milk and butter,1 cup,230,4,12,0.7,28
"Potatoes, pan-tried",3/4 cup,268,4,14,0.4,33
Scalloped with cheese potatoes,3/4 cup,145,6,8,0.4,14
Steamed potatoes before peeling,1 med.,80,2,trace amounts,0.4,19
Potato chips,10,110,1,7,trace amounts,10
Radishes,5 small,10,trace amounts,0,0.3,2
Rutabagas,4 cups,32,trace amounts,0,1.4,8
Soybeans,1 cup,260,22,11,3.2,20
Spinach,1 cup,26,3,trace amounts,1,3
Squash,1 cup,35,1,trace amounts,0.6,8
"Winter, mashed",1 cup,95,4,trace amounts,2.6,23
Sweet potatoes,1 med.,155,2,1,1,36
Candied,1 med.,235,2,6,1.5,80
Tomatoes,1 cup,50,2,trace amounts,1,9
"Raw, 2 by 2 1/2",1 med.,30,1,trace amounts,0.6,6
Tomato juice,1 cup,50,2,trace amounts,0.6,10
Tomato catsup,1 T.,15,trace amounts,trace amounts,trace amounts,4
Turnip greens,1 cup,45,4,1,1.8,8
"Turnips, steamed",1 cup,40,1,trace amounts,1.8,9
"Watercress stems, raw",1 cup,9,1,trace amounts,0.3,1
Apple juice canned,1 cup,125,trace amounts,0,0,34
Apple vinegar,1/3 cup,14,trace amounts,0,0,3
"Apples, raw",1 med,70,trace amounts,trace amounts,1,18
Stewed or canned,1 cup,100,trace amounts,trace amounts,2,26
Apricots,1 cup,220,2,trace amounts,1,57
"Dried, uncooked",1/2 cup,220,4,trace amounts,1,50
Fresh,3 med.,55,1,trace amounts,0.7,14
"Nectar, or juice",1 cup,140,1,trace amounts,2,36
Avocado,1/2 large,185,2,18,1.8,6
Banana,1 med.,85,1,trace amounts,0.9,23
Blackberries,1 cup,85,2,1,6.6,19
Blueberries,1 cup,245,1,trace amounts,2,65
Cantaloupe,1/2 med.,40,1,trace amounts,2.2,9
Cherries,1 cup,100,2,1,2,26
"Fresh, raw",1 cup,65,1,trace amounts,0.8,15
Cranberry sauce sweetened,1 cup,530,trace amounts,trace amounts,1.2,142
Dates,1 cup,505,4,trace amounts,3.6,134
Figs,2,120,2,trace amounts,1.9,30
"Fresh, raw figs",3 med.,90,2,trace amounts,1,22
figs Canned with syrup,3,130,1,trace amounts,1,32
"Fruit cocktail, canned",1 cup,195,1,trace amounts,0.5,50
Grapefruit sections,1 cup,170,1,trace amounts,0.5,44
"Grapefruit, fresh, 5"" diameter",02-Jan,50,1,trace amounts,1,14
Grapefruit juice,1 cup,100,1,trace amounts,1,24
Grapes,1 cup,70,1,trace amounts,0.8,16
"European, as Muscat, Tokay",1 cup,100,1,trace amounts,0.7,26
Grape juice,1 cup,160,1,trace amounts,trace amounts,42
Lemon juice,1/2 cup,30,trace amounts,trace amounts,trace amounts,10
Lemonade concentratefrozen,6-oz. can,430,trace amounts,trace amounts,trace amounts,112
Limeade concentrate frozen,6-oz. can,405,trace amounts,trace amounts,trace amounts,108
Olives large,10,72,1,10,0.8,3
OlivesRipe,10,105,1,13,1,1
"Oranges 3"" diameter",1 med.,60,2,trace amounts,1,16
Orange juice,8 oz. or,112,2,trace amounts,0.2,25
Frozen,6-oz. can,330,2,trace amounts,0.4,78
Papaya,1/2 med.,75,1,trace amounts,1.8,18
Peaches,1 cup,200,1,trace amounts,1,52
"Fresh, raw",1 med.,35,1,trace amounts,0.6,10
Pears,1 cup,195,1,trace amounts,2,50
"Raw, 3 by 2V",1 med.,100,1,1,2,25
Persimmons,1 med.,75,1,trace amounts,2,20
Pineapple,1 large slice,95,trace amounts,trace amounts,0.4,26
Pineapple Crushed,1 cup,205,1,trace amounts,0.7,55
"Raw, diced",1 cup,75,1,t',0.6,19
Pineapple juice,1 cup,120,1,trace amounts,0.2,32
Plums,1 cup,185,1,trace amounts,0.7,50
"Raw, 2"" diameter",1,30,trace amounts,trace amounts,0.2,7
Prunes,1 cup,300,3,1,0.8,81
Prune juice,1 cup,170,1,trace amounts,0.7,45
Raisins,1/2 cup,230,2,trace amounts,0.7,82
Raspberries,1/2 cup,100,trace amounts,trace amounts,2,25
"Raw, red",3/4 cup,57,trace amounts,trace amounts,5,14
Rhubarb sweetened,1 cup,385,1,trace amounts,1.9,98
Strawberries,1 cup,242,1,trace amounts,1.3,60
Raw,1 cup,54,trace amounts,trace amounts,1.9,12
Tangerines,I med.,40,1,trace amounts,1,10
Watermelon,1 wedge,120,2,1,3.6,29
Biscuits,1,130,3,4,trace amounts,18
Bran flakes,1 cup,117,3,trace amounts,0.1,32
"Bread, cracked wheat",1 slice,60,2,1,0.1,12
Rye,1 slice,55,2,1,0.1,12
"White, 20 slices, or",1-lb. loaf,"1,225",39,15,9,229
Whole-wheat,1-lb. loaf,"1,100",48,14,67.5,216
Whole-wheat,1 slice,55,2,1,0.31,11
Corn bread ground meal,1 serving,100,3,4,0.3,15
Cornflakes,1 cup,110,2,trace amounts,0.1,25
Corn grits cooked,1 cup,120,8,trace amounts,0.2,27
Corn meal,1 cup,360,9,4,1.6,74
Crackers,2 med.,55,1,1,trace amounts,10
"Soda, 2 1/2 square",2,45,1,1,trace amounts,8
Farina,1 cup,105,3,trace amounts,8,22
Flour,1 cup,460,39,22,2.9,33
Wheat (all purpose),1 cup,400,12,1,0.3,84
Wheat (whole),1 cup,390,13,2,2.8,79
Macaroni,1 cup,155,5,1,0.1,32
Baked with cheese,1 cup,475,18,25,trace amounts,44
Muffins,1,135,4,5,trace amounts,19
Noodles,1 cup,200,7,2,0.1,37
Oatmeal,1 cup,150,5,3,4.6,26
"Pancakes 4"" diam.",4,250,7,9,0.1,28
"Wheat, pancakes 4"" diam.",4,250,7,9,0.1,28
"Pizza 14"" diam.",1 section,180,8,6,trace amounts,23
Popcorn salted,2 cups,152,3,7,0.5,20
Puffed rice,1 cup,55,trace amounts,trace amounts,trace amounts,12
Puffed wheat presweetened,1 cup,105,1,trace amounts,0.6,26
Rice,1 cup,748,15,3,1.2,154
Converted,1 cup,677,14,trace amounts,0.4,142
White,1 cup,692,14,trace amounts,0.3,150
Rice flakes,1 cup,115,2,trace amounts,0.1,26
Rice polish,1/2 cup,132,6,6,1.2,28
Rolls,1 large,411,3,12,0.1,23
of refined flour,1,115,3,2,trace amounts,20
whole-wheat,1,102,4,1,0.1,20
Spaghetti with meat sauce,1 cup,285,13,10,0.5,35
with tomatoes and cheese,1 cup,210,6,5,0.5,36
Spanish rice,1 cup,217,4,4,1.2,40
Shredded wheat biscuit,1,100,3,1,0.7,23
Waffles,1,240,8,9,0.1,30
Wheat germ,1 cup,245,17,7,2.5,34
Wheat-germ cereal toasted,1 cup,260,20,7,2.5,36
Wheat meal cereal unrefined,3/4 cup,103,4,1,0.7,25
"Wheat, cooked",3/4 cup,275,12,1,4.4,35
Bean soups,1 cup,190,8,5,0.6,30
Beef soup,1 cup,100,6,4,0.5,11
Bouillon,1 cup,24,5,0,0,0
chicken soup,1 cup,75,4,2,0,10
Clam chowder,1 cup,85,5,2,0.5,12
Cream soups,1 cup,200,7,12,1.2,18
Noodle,1 cup,115,6,4,0.2,13
Split-pea soup,1 cup,147,8,3,0.5,25
Tomato soup,1 cup,175,6,7,0.5,22
Vegetable,1 cup,80,4,2,0,14
Apple betty,1 serving,150,1,4,0.5,29
Bread pudding,3/4 cup,374,11,12,0.2,56
Cakes,1 slice,110,3,trace amounts,0,23
Chocolate fudge,1 slice,420,5,14,0.3,70
Cupcake,1,160,3,3,trace amounts,31
Fruit cake,1 slice,105,2,4,0.2,17
Gingerbread,1 slice,180,2,7,trace amounts,28
"Plain, with no icing",1 slice,180,4,5,trace amounts,31
Sponge cake,1 slice,115,3,2,0,22
Candy,5,104,trace amounts,3,0,19
Chocolate creams,2,130,trace amounts,4,0,24
Fudge,2 pieces,370,trace amounts,12,0.1,80
Hard candies,1 oz.,90,trace amounts,0,0,28
Marshmallows,5,98,1,0,0,23
Milk chocolate,2-oz. bar,290,2,6,0.2,44
Chocolate syrup,2 T.,80,trace amounts,trace amounts,0,22
Doughnuts,1,135,2,7,trace amounts,17
"Gelatin, made with water",1 cup,155,4,trace amounts,0,36
Honey,2 T.,120,trace amounts,0,0,30
Ice cream,2 cups,250,0,0,10,0
Ices,1 cup,117,0,0,0,48
preserves,1 T.,55,0,0,trace amounts,14
Jellies,1 T.,50,0,0,0,13
Molasses,1 T.,45,0,0,8,11
Cane Syrup,1 T.,50,0,0,0,13
"9"" diam. pie",1 slice,330,3,13,0.1,53
Cherry Pie,1 slice,340,3,13,0.1,55
Custard,1 slice,265,7,11,0,34
Lemon meringue,1 slice,300,4,12,0.1,45
Mince,1 slice,340,3,9,0.7,62
Pumpkin Pie,1 slice,265,5,12,8,34
Puddings Sugar,1 cup,770,0,0,0,199
3 teaspoons sugar,1 T.,50,0,0,0,12
"Brown, firm-packed, dark sugar",1 cup,815,0,trace amounts,0,210
Syrup,2 T.,100,0,0,0,25
table blends sugar,2 T.,110,0,0,0,29
Tapioca cream pudding,1 cup,335,10,10,0,42
Almonds,1/2 cup,425,13,38,1.8,13
roasted and salted,1/2 cup,439,13,40,1.8,13
Brazil nuts,1/2 cup,457,10,47,2,7
Cashews,1/2 cup,392,12,32,0.9,20
coconut sweetened,1/2 cup,274,1,20,2,26
Peanut butter,1/3 cup,300,12,25,0.9,9
"Peanut butter, natural",1/3 cup,284,13,24,0.9,8
Peanuts,1/3 cup,290,13,25,1.2,9
Pecans,1/2 cup,343,5,35,1.1,7
Sesame seeds,1/2 cup,280,9,24,3.1,10
Sunflower seeds,1/2 cup,280,12,26,1.9,10
Walnuts,1/2 cup,325,7,32,1,8
Beer,2 cups,228,trace amounts,0,0,8
Gin,1 oz.,70,0,0,0,trace amounts
Wines,1/2 cup,164,trace amounts,0,0,9
Table (12.2% alcohol),1/2 cup,100,trace amounts,0,0,5
Carbonated drinks Artificially sweetened,12 oz.,0,0,0,0,0
Club soda,12 oz.,0,0,0,0,0
Cola drinks,12 oz.,137,0,0,0,38
Fruit-flavored soda,12 oz.,161,0,0,0,42
Ginger ale,12 oz.,105,0,0,0,28
Root beer,12 oz.,140,0,0,0,35
Coffee,1 cup,3,trace amounts,0,0,1
Tea,1 cup,4,0,trace amounts,0,1